  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                Potential                 Abundances               
  0.000000000000000000E+00  2.000000000000000000E+03  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  1.999999999998895855E-07  0.000000000000000000E+00  1.999999999998895855E-07  0.000000000000000000E+00  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  9.999999998999840045E+02  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07
 1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07
 1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07
 1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  9.999999998999844593E+02  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07
 1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07  1.999999999998895855E-07
  2.000000000000000073E-10  2.000000000000000000E+03  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  1.999999999998895855E-07  0.000000000000000000E+00  1.999999999998895855E-07  0.000000000000000000E+00  1.698185643676581830E-12  7.052528617580759648E-10  2.539224309059715991E-06  5.083770940726763674E-04  1.760411829314402897E-07  3.682752907905864867E-07  2.264517405385994437E-08  1.144413732255529512E-08  1.759699813331066028E-07  5.769159681614658067E-07  2.298799637356799736E-07  3.281264511204634419E-07  1.141684172706632084E-07  3.316057956392980995E-07  7.088420766982739240E-08  1.899982625681908947E-07  1.054168508159315472E-07  3.886462166692738859E-07  3.894251189132798206E-19  2.841523369596597869E-12  1.604320739480171306E-11  3.826577684809307126E-07  9.999485970453918071E+02  5.332108580867202228E-07  2.257765880162517416E-07  7.859010786762613336E-09  9.342943468231577877E-08  5.953405491188149681E-07  3.971052619164197176E-07  3.490911804749473118E-07  2.134241952031547231E-07  2.457892174590924905E-07  1.649513110601363174E-07  2.350984041816861468E-07  1.636233466337981135E-07  1.971766477563899756E-07  5.077156886358600420E-11  2.172390801981899134E-09  3.489207624620000276E-07  1.739136324452835990E-07  1.906121400182873269E-07
 3.738697834996891993E-07  6.619009220410946509E-08  1.554193572572052816E-07  4.529046297341440358E-13  5.599001341605173058E-11  2.213578948698612547E-07  1.336834606784413833E-07  1.739881769884357399E-07  2.081695940450217336E-07  1.734315513387886678E-07  1.916260819932774745E-07  2.438145298398203312E-07  1.554584283331254905E-07  6.447909018405577292E-08  3.938215111273739465E-07  3.455570200862668332E-07  2.875804277882624649E-07  2.308545681367308173E-07  2.438254872650228128E-07  1.910628027998295131E-07  3.473813860724125054E-07  2.490451986724582272E-08  2.725095458309305455E-10  5.643555839530462648E-08  1.740074342077840876E-08  4.953843272078123263E-08  1.764083371643104740E-07  2.099700919225248706E-07  2.838189189991157034E-07  1.205361922405435893E-07  1.690419317146688030E-07  4.306239093592804541E-11  9.100444683420655881E-11  5.938657520433813673E-08  6.584964655508874534E-08  5.281649663133228215E-08  1.945944021555145653E-07  8.278421698836833349E-08  3.939107734282227042E-07  2.827228130807387767E-07  2.688048920938226988E-07  2.547625498797626393E-07  2.739761646464226471E-07  1.964215119152324500E-07  3.922605368653397434E-07  3.834069078108574077E-08  1.405730851481099724E-07  5.940160362707596279E-10  1.320062030134399308E-09  7.244226670830460558E-09
 1.739752936925541077E-08  3.440345401065984302E-08  1.606304757919138190E-07  7.340531252269723701E-08  1.576281595338682252E-07  5.805252042483350691E-08  5.637623069640379635E-08  8.445078663931300379E-08  1.937374650155794528E-07  1.131724514669886636E-07  1.799631161828590398E-07  2.849619748172538555E-07  3.077877089550747416E-02  7.972596751792756143E-09  9.835662988475949304E-10  2.673278222060975019E-07  2.023329390890051432E-07  1.705124772703033757E-07  2.620585203171451597E-07  1.328069799973764077E-07  2.941597523500181893E-07  9.220960749467147003E-08  1.780243584643049430E-08  5.189811116510617423E-12  6.526895102535178339E-08  4.175980069034220324E-03  2.415522674018996349E-04  4.874795443975376639E-07  8.256567186426434759E-07  1.401638256887619665E-07  3.778857844597204720E-07  1.526801774065199559E-10  6.650186027640660618E-11  3.506297291880306536E-07  1.162759788355622696E-07  1.808492125380687413E-07  2.093007013191250130E-07  1.894695031699135509E-07  3.637386082460996322E-07  8.484934736487840339E-08  1.398695246550154104E-07  1.862201136862272235E-04  5.405650950416713700E-21  1.161132619132324129E-09  2.665318347351844972E-07  1.355590034777361813E-03  7.813920760175379985E-11  1.561629662285480231E-09  3.210355145233946122E-05  1.637217370721369761E-02
 1.429602853420889787E-07  3.595489440391446162E-07  3.150807147668828474E-08  4.430440326273957359E-09  3.663338809247616318E-07  1.787859652919680797E-02  3.019463718284263358E-06  1.342503369269024379E-05  7.610186212831751531E-08  1.998042680726845057E-07  7.463206246125235004E-08  3.961410787186990832E-07  5.011688007655410407E-07  4.290265932926959938E-07  6.242705345006809062E-07  4.796095098464577162E-07  2.740213113994371325E-07  4.230155465550827943E-07  6.884720607992305155E-08  1.759178378666060969E-07  5.962934744560568758E-16  2.601962300866120271E-07  9.999789597846021252E+02  4.679251374928555140E-08  3.752438792486288459E-07  3.834701210518437844E-10  8.250950487847430372E-04  1.017878328067433646E-10  1.676367505159718674E-09  2.178610799789729036E-07  6.531202450734533875E-06  1.546940208046191639E-07  3.624471272166704195E-07  4.497226287167965861E-08  1.848109408829948365E-07  1.074590997876850392E-07  1.043095697783080237E-06  5.724594906907646148E-07  2.505780511572319552E-07  2.531676774500326553E-07  1.880696500004135541E-07  3.877829978051012840E-07  6.929166506547832368E-09  2.739300573279472100E-10  1.725827933504771347E-07  6.572969395962998160E-08  1.656236185525740848E-07  2.060165977446369656E-07  1.856191874169393482E-07  2.284000647412618265E-07
 1.706111353594368479E-07  1.979466754034634496E-07  1.436371955248839739E-07  6.598364363177998859E-05  2.277404132366351231E-06  2.745982881616149128E-07  3.399168051521711562E-07  1.748269179906191115E-07  3.870322695565141632E-07  1.596741507025329803E-09  2.667404436100981753E-07  1.163627381826266577E-10  1.014457368472200778E-08  3.949752663639774030E-07  3.092086707695656898E-07  3.043113238309726580E-07  2.227474292278932587E-07  2.364950797685496767E-07  1.748972297722010981E-07  3.592544792314652384E-07  3.620453336788384494E-08  6.801163561070722645E-11  2.157187356053169211E-07  1.016189871022756127E-07  1.784896885392300535E-07  1.988343141313563009E-07  1.929746064251621984E-07  3.614005118715185465E-07  7.357979783322855278E-08  1.588493766363877739E-07  1.801288855051862630E-09  1.615914140436025567E-07  9.815826235879035372E-08  2.321946276241717422E-07  3.737433817959528298E-07  5.956492980588605954E-07  3.340652094508121743E-07  6.096187005060037428E-07  6.632182940186227980E-08  1.737130933245871894E-07
